time,open,high,low,close,tick_volume,spread,real_volume,pct_change,target
1987-10-28,1.1162,1.1174,1.1157,1.1163,331,50,0,0.008218930635838229,1
1987-10-29,1.1303,1.1313,1.1283,1.1304,591,50,0,0.012631013168503014,1
1987-10-30,1.1302,1.1318,1.1272,1.13,901,50,0,-0.0003538570417552789,-1
1987-11-02,1.1401,1.1421999999999999,1.1359,1.1403,1241,50,0,0.009115044247787862,1
1987-11-03,1.1434,1.1493,1.1406,1.1436,1721,50,0,0.0028939752696657273,1
1987-11-04,1.1444,1.147,1.1434,1.1444,721,50,0,0.0006995452955580461,1
1987-11-05,1.1663999999999999,1.1718,1.1551,1.1661,3311,50,0,0.01896190143306531,1
1987-11-06,1.1663999999999999,1.1678,1.1633,1.1666,881,50,0,0.00042877969299381924,1
1987-11-09,1.1755,1.1773,1.1727,1.1756,911,50,0,0.007714726555803075,1
1987-11-10,1.1781,1.1844000000000001,1.1745,1.1778,1951,50,0,0.001871384824770228,1
1987-11-11,1.1721,1.1721,1.1721,1.1721,1,50,0,-0.0048395313295975795,-1
1987-11-12,1.1561,1.1648,1.1514,1.1558,2651,50,0,-0.013906663253988594,-1
1987-11-13,1.1572,1.1588,1.154,1.1571,951,50,0,0.0011247620695622462,1
1987-11-16,1.145,1.1481,1.1391,1.145,1801,50,0,-0.01045717742632446,-1
1987-11-17,1.1549,1.1551,1.1545,1.1549,121,50,0,0.008646288209607,1
1987-11-18,1.157,1.1589,1.1524,1.1569,1291,50,0,0.0017317516668109434,1
1987-11-19,1.1646,1.1657,1.1637,1.1646,401,50,0,0.006655717866712818,1
1987-11-20,1.1673,1.1759,1.1629,1.1669,2561,50,0,0.0019749270135669406,1
1987-11-23,1.1724,1.1728,1.1724,1.1726,61,50,0,0.00488473733824657,1
1987-11-24,1.1602000000000001,1.1618,1.1595,1.1599,431,50,0,-0.010830632781852478,-1
1987-11-25,1.1716,1.1722,1.1701,1.1713,391,50,0,0.009828433485645327,1
1987-11-27,1.1868,1.1971,1.1822,1.1872,2941,50,0,0.013574660633484115,1
1987-11-30,1.1925,1.1935,1.1923,1.1929,201,50,0,0.004801212938005506,1
1987-12-01,1.1852,1.1865,1.1834,1.1852,621,50,0,-0.006454857909296674,-1
1987-12-02,1.1831,1.1839,1.1828,1.1831,221,50,0,-0.0017718528518393395,-1
1987-12-03,1.178,1.1783,1.1768,1.1781,291,50,0,-0.004226185445017405,-1
1987-12-04,1.1754,1.1822,1.1716,1.1754,2121,50,0,-0.0022918258212375475,-1
1987-12-07,1.1703000000000001,1.1709,1.17,1.1703999999999999,171,50,0,-0.00425387102263064,-1
1987-12-08,1.1724999999999999,1.1731,1.1717,1.1724999999999999,281,50,0,0.0017942583732057926,1
1987-12-09,1.1763,1.1779,1.175,1.1762,571,50,0,0.0031556503198295616,1
1987-12-10,1.1942,1.1951,1.192,1.1938,581,50,0,0.01496344159156604,1
1987-12-11,1.1985999999999999,1.1985999999999999,1.1978,1.1984,141,50,0,0.0038532417490366733,1
1987-12-14,1.2006000000000001,1.2039,1.1989,1.2009,971,50,0,0.0020861148197597323,1
1987-12-15,1.2002,1.2015,1.1997,1.2003,351,50,0,-0.0004996252810393065,-1
1987-12-16,1.1992,1.1993,1.1992,1.1993,11,50,0,-0.0008331250520702271,-1
1987-12-17,1.2048,1.2054,1.2036,1.2049,351,50,0,0.004669390477778812,1
1987-12-18,1.1987,1.2018,1.1968,1.1984,971,50,0,-0.005394638559216625,-1
1987-12-21,1.1969,1.198,1.1963,1.1971,321,50,0,-0.0010847797062749631,-1
1987-12-22,1.2005,1.2009,1.1999,1.2006000000000001,191,50,0,0.002923732353186992,1
1987-12-23,1.195,1.1953,1.1944,1.1948,161,50,0,-0.004830917874396157,-1
1987-12-24,1.1989,1.2004,1.1959,1.1991,881,50,0,0.0035989286909943186,1
1987-12-28,1.2167,1.2248999999999999,1.2005,1.217,4851,50,0,0.014927862563589356,1
1987-12-29,1.2264,1.2277,1.2254,1.2265,451,50,0,0.007806080525883274,1
1987-12-30,1.2263,1.227,1.2255,1.2264,291,50,0,-8.153281695877368e-05,-1
1987-12-31,1.2441,1.2453,1.2416,1.2442,731,50,0,0.014514024787997348,1
1988-01-04,1.2354,1.2368000000000001,1.2343,1.2354,501,50,0,-0.00707281787493963,-1
1988-01-05,1.2058,1.2133,1.2023,1.2057,2191,50,0,-0.024040796503156936,-1
1988-01-06,1.1867,1.1882,1.1858,1.1867,481,50,0,-0.01575848055071738,-1
1988-01-07,1.1925,1.1932,1.1905999999999999,1.1923,501,50,0,0.004718968568298454,1
1988-01-08,1.184,1.185,1.1816,1.1837,651,50,0,-0.007212949760966203,-1
1988-01-11,1.1945000000000001,1.1945000000000001,1.1945000000000001,1.1945000000000001,1,50,0,0.009123933429078468,1
1988-01-12,1.1956,1.1964,1.195,1.1956,281,50,0,0.0009208874005859347,1
1988-01-13,1.1976,1.1978,1.1972,1.1975,111,50,0,0.001589160254265698,1
